Top 10000 values of input.keyword,@timestamp per 12 hours,Count of records
cd ~; chattr -ia .ssh; lockr -ia .ssh,15/11/2025 00:00,38
cd ~; chattr -ia .ssh; lockr -ia .ssh,15/11/2025 12:00,73
cd ~; chattr -ia .ssh; lockr -ia .ssh,16/11/2025 00:00,22
cd ~; chattr -ia .ssh; lockr -ia .ssh,17/11/2025 00:00,5
cd ~; chattr -ia .ssh; lockr -ia .ssh,17/11/2025 12:00,38
cd ~; chattr -ia .ssh; lockr -ia .ssh,18/11/2025 00:00,38
cd ~; chattr -ia .ssh; lockr -ia .ssh,18/11/2025 12:00,2
cd ~; chattr -ia .ssh; lockr -ia .ssh,19/11/2025 00:00,91
cd ~; chattr -ia .ssh; lockr -ia .ssh,19/11/2025 12:00,8
cd ~; chattr -ia .ssh; lockr -ia .ssh,20/11/2025 00:00,114
cd ~; chattr -ia .ssh; lockr -ia .ssh,20/11/2025 12:00,13
cd ~; chattr -ia .ssh; lockr -ia .ssh,21/11/2025 00:00,78
cd ~; chattr -ia .ssh; lockr -ia .ssh,21/11/2025 12:00,7
cd ~; chattr -ia .ssh; lockr -ia .ssh,22/11/2025 00:00,110
cd ~; chattr -ia .ssh; lockr -ia .ssh,22/11/2025 12:00,39
cd ~; chattr -ia .ssh; lockr -ia .ssh,23/11/2025 00:00,151
cd ~; chattr -ia .ssh; lockr -ia .ssh,24/11/2025 00:00,46
cd ~; chattr -ia .ssh; lockr -ia .ssh,25/11/2025 00:00,50
cd ~; chattr -ia .ssh; lockr -ia .ssh,25/11/2025 12:00,88
cd ~; chattr -ia .ssh; lockr -ia .ssh,26/11/2025 00:00,29
cd ~; chattr -ia .ssh; lockr -ia .ssh,26/11/2025 12:00,3
cd ~; chattr -ia .ssh; lockr -ia .ssh,27/11/2025 00:00,29
cd ~; chattr -ia .ssh; lockr -ia .ssh,28/11/2025 00:00,8
cd ~; chattr -ia .ssh; lockr -ia .ssh,28/11/2025 12:00,52
cd ~; chattr -ia .ssh; lockr -ia .ssh,29/11/2025 00:00,26
cd ~; chattr -ia .ssh; lockr -ia .ssh,29/11/2025 12:00,27
cd ~; chattr -ia .ssh; lockr -ia .ssh,30/11/2025 00:00,91
cd ~; chattr -ia .ssh; lockr -ia .ssh,30/11/2025 12:00,5
cat /proc/cpuinfo | grep name | wc -l,15/11/2025 00:00,38
cat /proc/cpuinfo | grep name | wc -l,15/11/2025 12:00,73
cat /proc/cpuinfo | grep name | wc -l,16/11/2025 00:00,22
cat /proc/cpuinfo | grep name | wc -l,17/11/2025 00:00,5
cat /proc/cpuinfo | grep name | wc -l,17/11/2025 12:00,31
cat /proc/cpuinfo | grep name | wc -l,18/11/2025 00:00,38
cat /proc/cpuinfo | grep name | wc -l,18/11/2025 12:00,1
cat /proc/cpuinfo | grep name | wc -l,19/11/2025 00:00,88
cat /proc/cpuinfo | grep name | wc -l,19/11/2025 12:00,6
cat /proc/cpuinfo | grep name | wc -l,20/11/2025 00:00,112
cat /proc/cpuinfo | grep name | wc -l,20/11/2025 12:00,13
cat /proc/cpuinfo | grep name | wc -l,21/11/2025 00:00,75
cat /proc/cpuinfo | grep name | wc -l,21/11/2025 12:00,6
cat /proc/cpuinfo | grep name | wc -l,22/11/2025 00:00,106
cat /proc/cpuinfo | grep name | wc -l,22/11/2025 12:00,40
cat /proc/cpuinfo | grep name | wc -l,23/11/2025 00:00,100
cat /proc/cpuinfo | grep name | wc -l,24/11/2025 00:00,44
cat /proc/cpuinfo | grep name | wc -l,25/11/2025 00:00,42
cat /proc/cpuinfo | grep name | wc -l,25/11/2025 12:00,88
cat /proc/cpuinfo | grep name | wc -l,26/11/2025 00:00,28
cat /proc/cpuinfo | grep name | wc -l,26/11/2025 12:00,3
cat /proc/cpuinfo | grep name | wc -l,27/11/2025 00:00,27
cat /proc/cpuinfo | grep name | wc -l,28/11/2025 00:00,5
cat /proc/cpuinfo | grep name | wc -l,28/11/2025 12:00,34
cat /proc/cpuinfo | grep name | wc -l,29/11/2025 00:00,24
cat /proc/cpuinfo | grep name | wc -l,29/11/2025 12:00,27
cat /proc/cpuinfo | grep name | wc -l,30/11/2025 00:00,75
cat /proc/cpuinfo | grep name | wc -l,30/11/2025 12:00,5
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",15/11/2025 00:00,38
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",15/11/2025 12:00,70
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",16/11/2025 00:00,22
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",17/11/2025 00:00,5
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",17/11/2025 12:00,31
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",18/11/2025 00:00,37
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",18/11/2025 12:00,1
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",19/11/2025 00:00,86
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",19/11/2025 12:00,6
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",20/11/2025 00:00,111
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",20/11/2025 12:00,11
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",21/11/2025 00:00,73
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",21/11/2025 12:00,6
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",22/11/2025 00:00,103
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",22/11/2025 12:00,40
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",23/11/2025 00:00,98
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",24/11/2025 00:00,44
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",25/11/2025 00:00,41
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",25/11/2025 12:00,85
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",26/11/2025 00:00,25
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",26/11/2025 12:00,2
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",27/11/2025 00:00,26
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",28/11/2025 00:00,4
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",28/11/2025 12:00,34
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",29/11/2025 00:00,24
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",29/11/2025 12:00,26
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",30/11/2025 00:00,73
"cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9;}'",30/11/2025 12:00,4
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",15/11/2025 00:00,38
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",15/11/2025 12:00,67
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",16/11/2025 00:00,22
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",17/11/2025 00:00,5
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",17/11/2025 12:00,31
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",18/11/2025 00:00,37
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",18/11/2025 12:00,1
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",19/11/2025 00:00,85
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",19/11/2025 12:00,6
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",20/11/2025 00:00,110
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",20/11/2025 12:00,11
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",21/11/2025 00:00,74
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",21/11/2025 12:00,5
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",22/11/2025 00:00,103
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",22/11/2025 12:00,40
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",23/11/2025 00:00,98
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",24/11/2025 00:00,44
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",25/11/2025 00:00,41
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",25/11/2025 12:00,87
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",26/11/2025 00:00,25
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",26/11/2025 12:00,2
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",27/11/2025 00:00,26
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",28/11/2025 00:00,4
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",28/11/2025 12:00,34
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",29/11/2025 00:00,24
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",29/11/2025 12:00,26
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",30/11/2025 00:00,72
"free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}'",30/11/2025 12:00,5
uname -a,15/11/2025 00:00,40
uname -a,15/11/2025 12:00,68
uname -a,16/11/2025 00:00,22
uname -a,17/11/2025 00:00,5
uname -a,17/11/2025 12:00,32
uname -a,18/11/2025 00:00,36
uname -a,18/11/2025 12:00,1
uname -a,19/11/2025 00:00,86
uname -a,19/11/2025 12:00,6
uname -a,20/11/2025 00:00,114
uname -a,20/11/2025 12:00,10
uname -a,21/11/2025 00:00,72
uname -a,21/11/2025 12:00,7
uname -a,22/11/2025 00:00,100
uname -a,22/11/2025 12:00,38
uname -a,23/11/2025 00:00,95
uname -a,24/11/2025 00:00,45
uname -a,25/11/2025 00:00,41
uname -a,25/11/2025 12:00,84
uname -a,26/11/2025 00:00,25
uname -a,26/11/2025 12:00,2
uname -a,27/11/2025 00:00,25
uname -a,28/11/2025 00:00,5
uname -a,28/11/2025 12:00,33
uname -a,29/11/2025 00:00,23
uname -a,29/11/2025 12:00,27
uname -a,30/11/2025 00:00,75
uname -a,30/11/2025 12:00,4
w,15/11/2025 00:00,38
w,15/11/2025 12:00,67
w,16/11/2025 00:00,22
w,17/11/2025 00:00,5
w,17/11/2025 12:00,31
w,18/11/2025 00:00,37
w,18/11/2025 12:00,1
w,19/11/2025 00:00,86
w,19/11/2025 12:00,6
w,20/11/2025 00:00,110
w,20/11/2025 12:00,10
w,21/11/2025 00:00,72
w,21/11/2025 12:00,5
w,22/11/2025 00:00,104
w,22/11/2025 12:00,39
w,23/11/2025 00:00,98
w,24/11/2025 00:00,44
w,25/11/2025 00:00,41
w,25/11/2025 12:00,86
w,26/11/2025 00:00,26
w,26/11/2025 12:00,2
w,27/11/2025 00:00,24
w,28/11/2025 00:00,4
w,28/11/2025 12:00,34
w,29/11/2025 00:00,23
w,29/11/2025 12:00,26
w,30/11/2025 00:00,71
w,30/11/2025 12:00,3
crontab -l,15/11/2025 00:00,38
crontab -l,15/11/2025 12:00,65
crontab -l,16/11/2025 00:00,22
crontab -l,17/11/2025 00:00,5
crontab -l,17/11/2025 12:00,31
crontab -l,18/11/2025 00:00,38
crontab -l,18/11/2025 12:00,1
crontab -l,19/11/2025 00:00,85
crontab -l,19/11/2025 12:00,6
crontab -l,20/11/2025 00:00,111
crontab -l,20/11/2025 12:00,9
crontab -l,21/11/2025 00:00,73
crontab -l,21/11/2025 12:00,5
crontab -l,22/11/2025 00:00,104
crontab -l,22/11/2025 12:00,39
crontab -l,23/11/2025 00:00,98
crontab -l,24/11/2025 00:00,44
crontab -l,25/11/2025 00:00,41
crontab -l,25/11/2025 12:00,85
crontab -l,26/11/2025 00:00,25
crontab -l,26/11/2025 12:00,2
crontab -l,27/11/2025 00:00,24
crontab -l,28/11/2025 00:00,4
crontab -l,28/11/2025 12:00,34
crontab -l,29/11/2025 00:00,23
crontab -l,29/11/2025 12:00,26
crontab -l,30/11/2025 00:00,71
crontab -l,30/11/2025 12:00,3
ls -lh $(which ls),15/11/2025 00:00,38
ls -lh $(which ls),15/11/2025 12:00,67
ls -lh $(which ls),16/11/2025 00:00,22
ls -lh $(which ls),17/11/2025 00:00,5
ls -lh $(which ls),17/11/2025 12:00,31
ls -lh $(which ls),18/11/2025 00:00,37
ls -lh $(which ls),18/11/2025 12:00,1
ls -lh $(which ls),19/11/2025 00:00,84
ls -lh $(which ls),19/11/2025 12:00,5
ls -lh $(which ls),20/11/2025 00:00,110
