ipAddress,isPublic,ipVersion,isWhitelisted,abuseConfidenceScore,countryCode,usageType,isp,domain,hostnames,isTor,totalReports,numDistinctUsers,lastReportedAt
91.99.78.245,1,4,0,0,DE,Data Center/Web Hosting/Transit,Hetzner Online GmbH,hetzner.com,static.245.78.99.91.clients.your-server.de,0,0,0,
91.99.141.152,1,4,0,59,DE,Data Center/Web Hosting/Transit,Hetzner Online GmbH,hetzner.com,static.152.141.99.91.clients.your-server.de,0,11,11,2025-11-30T18:45:20+00:00
2a01:04f8:1c1a:8860:0000:0000:0000:0001,1,6,0,0,DE,Content Delivery Network,Hetzner Online GmbH,hetzner.com,,0,0,0,
2.57.122.238,1,4,0,100,RO,Data Center/Web Hosting/Transit,TECHOFF SRV LIMITED,dmzhost.co,,0,15414,177,2025-11-30T21:58:46+00:00
103.172.146.170,1,4,0,100,IN,Data Center/Web Hosting/Transit,WEB WERKS INFRA2 PRIVATE LIMITED,webwerks.in,,0,6495,416,2025-11-30T21:56:54+00:00
160.44.201.156,1,4,0,4,DE,Data Center/Web Hosting/Transit,T-Systems International GmbH,t-systems.com,ecs-160-44-201-156.reverse.open-telekom-cloud.com,0,14,1,2025-11-22T02:15:06+00:00
195.178.110.30,1,4,0,100,NL,Data Center/Web Hosting/Transit,TECHOFF SRV LIMITED,,,0,24232,259,2025-11-30T21:59:05+00:00
80.94.92.40,1,4,0,100,RO,Data Center/Web Hosting/Transit,TECHOFF SRV LIMITED,dmzhost.co,,0,14686,284,2025-11-30T21:56:38+00:00
51.179.202.125,1,4,0,0,GB,Fixed Line ISP,AllPoints Fibre Networks Limited,allpointsfibre.uk,cust-51.179.202.125.cgn.as5482.net,0,0,0,
45.148.10.240,1,4,0,100,NL,Data Center/Web Hosting/Transit,TECHOFF SRV LIMITED,,,0,10431,300,2025-11-30T21:57:50+00:00
14.63.166.251,1,4,0,100,KR,Fixed Line ISP,Korea Telecom,kt.com,,0,841,34,2025-11-30T05:01:45+00:00
80.94.92.187,1,4,0,100,RO,Data Center/Web Hosting/Transit,TECHOFF SRV LIMITED,dmzhost.co,,0,11656,250,2025-11-30T21:52:53+00:00
92.118.39.62,1,4,0,100,RO,Data Center/Web Hosting/Transit,DMZHOST,dmzhost.co,,0,20660,343,2025-11-30T21:50:18+00:00
172.21.0.1,0,4,0,0,,Reserved,Private IP Address LAN,,,0,0,0,2025-04-24T23:34:44+00:00
